Warship ;Tier ;Type ;Nation ;Battles ;Win rate ;Avg. frags ;Avg. damage ;Avg. experience ;Avg. planes destroyed ;Kills / deaths
Gryf ;1;Cruiser ;Europe ;375 088 ;48.21 % ;1.98 ;12 721 ;724;0 ;4.18
Luca Tarigo ;7;Destroyer ;Italy ;371 921 ;52.66 % ;0.77 ;27 182 ;1 518 ;1.01 ;1.28
Smith ;2;Destroyer ;U.S.A. ;371 824 ;51%;0.99 ;15 992 ;691;0 ;1.5
Longjiang ;2;Destroyer ;Pan-Asia ;371 240 ;46.84 % ;0.86 ;16 102 ;546;0 ;1.59
Hill ;5;Destroyer ;U.S.A. ;367 210 ;54.75 % ;0.86 ;26 267 ;1 205 ;1.77 ;1.4
Agincourt ;5;Battleship ;U.K. ;365 900 ;57.47 % ;1.26 ;50 645 ;1 315 ;0 ;2.1
Gokase ;6;Cruiser ;Japan ;364 886 ;50.81 % ;0.66 ;26 713 ;1 113 ;2.04 ;0.99
Monaghan ;6;Destroyer ;U.S.A. ;361 781 ;53.65 % ;0.76 ;25 592 ;1 269 ;1.99 ;1.29
Haida ;7;Destroyer ;Commonwealth ;358 403 ;54.29 % ;0.78 ;28 664 ;1 538 ;0.82 ;1.38
Yodo ;10;Cruiser ;Japan ;351 392 ;49.43 % ;0.7 ;61 744 ;1 712 ;4.53 ;1.28
Brisbane ;10;Cruiser ;Commonwealth ;349 288 ;49.77 % ;0.67 ;51 111 ;1 697 ;4.79 ;1.16
ZF-6 ;9;Destroyer ;Germany ;345 030 ;49.57 % ;0.7 ;36 700 ;1 638 ;1.73 ;1.07
Álvaro de Bazán ;10;Destroyer ;Spain ;339 695 ;48.39 % ;0.61 ;44 160 ;1 607 ;1.67 ;0.98
Adriatico ;9;Destroyer ;Italy ;339 573 ;50.11 % ;0.67 ;36 667 ;1 613 ;0.84 ;1.08
Anchorage ;8;Cruiser ;U.S.A. ;338 717 ;50.78 % ;0.62 ;47 599 ;1 547 ;2.48 ;0.97
Strasbourg ;7;Battleship ;France ;338 168 ;52.09 % ;0.84 ;56 456 ;1 552 ;1.97 ;1.29
Tiger ;5;Battleship ;U.K. ;336 188 ;50.6 % ;0.85 ;39 452 ;1 053 ;1.04 ;1.42
Nebraska ;8;Battleship ;U.S.A. ;335 921 ;50.75 % ;0.74 ;53 468 ;1 637 ;5.37 ;1.43
Aviere ;6;Destroyer ;Italy ;331 930 ;54.17 % ;0.85 ;25 839 ;1 348 ;1.2 ;1.45
Jurien de la Gravière ;2;Cruiser ;France ;329 649 ;46.74 % ;0.71 ;15 664 ;480;0 ;1.19
Orkan ;8;Destroyer ;Europe ;329 440 ;51.02 % ;0.65 ;29 018 ;1 623 ;1.48 ;1.12
Agano ;5;Cruiser ;Japan ;328 351 ;49.51 % ;0.59 ;21 173 ;873;1.19 ;0.81
Vittorio Cuniberti ;8;Destroyer ;Italy ;327 173 ;51.15 % ;0.73 ;30 698 ;1 640 ;1.04 ;1.22
Turenne ;3;Battleship ;France ;323 805 ;48.83 % ;0.84 ;25 699 ;564;0.01 ;1.57
Bajie ;9;Battleship ;Pan-Asia ;320 414 ;50.38 % ;0.71 ;72 601 ;1 659 ;1.85 ;1.31
König Albert ;3;Battleship ;Germany ;320 135 ;59.7 % ;1.36 ;38 880 ;910;0.1 ;2.91
Atlântico ;8;Battleship ;Pan-America ;318 700 ;54.96 % ;0.98 ;70 739 ;1 793 ;4.7 ;1.57
Eagle ;11;Aircraft Carrier ;U.K. ;316 910 ;50.05 % ;1 ;111 982 ;1 942 ;4.22 ;3.33
Yorktown ;8;Aircraft Carrier ;U.S.A. ;316 113 ;51.03 % ;0.68 ;55 631 ;1 652 ;7.04 ;2.69
Phra Ruang ;3;Destroyer ;Pan-Asia ;315 194 ;47.58 % ;0.69 ;17 150 ;547;0.15 ;1.11
Krasny Krym ;5;Cruiser ;U.S.S.R. ;314 940 ;51.96 % ;0.63 ;25 863 ;1 013 ;1.24 ;0.93
De Zeven Provinciën ;8;Cruiser ;The Netherlands ;310 020 ;52.97 % ;0.66 ;48 026 ;1 726 ;7.26 ;1.32
Kaga B ;8;Aircraft Carrier ;Japan ;308 293 ;51.71 % ;0.82 ;65 058 ;1 704 ;3.17 ;3.09
Cossack B ;8;Destroyer ;U.K. ;306 624 ;52.15 % ;0.77 ;33 544 ;1 719 ;0.42 ;1.38
London ;6;Cruiser ;U.K. ;306 029 ;51.93 % ;0.64 ;32 237 ;1 235 ;2.66 ;1.01
Viribus Unitis ;5;Battleship ;Europe ;305 678 ;53.68 % ;1 ;46 565 ;1 228 ;0.09 ;1.84
Indomitable ;8;Aircraft Carrier ;U.K. ;305 353 ;50.51 % ;0.77 ;63 212 ;1 756 ;4.45 ;3.16
Asturias ;7;Cruiser ;Spain ;303 617 ;50.66 % ;0.63 ;36 283 ;1 295 ;1.68 ;0.96
Ignacio Allende ;8;Cruiser ;Pan-America ;300 243 ;51.24 % ;0.66 ;38 938 ;1 593 ;4.88 ;1.06
Cataluña ;8;Cruiser ;Spain ;299 746 ;51.49 % ;0.7 ;46 979 ;1 603 ;2.82 ;1.14
Florida ;7;Battleship ;U.S.A. ;299 503 ;51.98 % ;0.83 ;55 364 ;1 579 ;4.48 ;1.44
ARP Nachi ;7;Cruiser ;Japan ;293 680 ;50.94 % ;0.67 ;35 229 ;1 099 ;1.6 ;1.02
Aurora ;3;Cruiser ;U.S.S.R. ;293 530 ;51.75 % ;0.97 ;25 138 ;772;0.05 ;1.56
Druid ;10;Destroyer ;U.K. ;292 145 ;54.27 % ;0.92 ;58 605 ;1 957 ;2.84 ;1.52
Komsomolets ;4;Aircraft Carrier ;U.S.S.R. ;291 426 ;50.39 % ;0.61 ;25 146 ;693;1.88 ;1.79
Split ;8;Destroyer ;Europe ;289 918 ;49.58 % ;0.65 ;29 554 ;1 510 ;1.49 ;0.95
Yumihari ;8;Battleship ;Japan ;288 688 ;50.21 % ;0.79 ;62 808 ;1 647 ;2.45 ;1.36
Andalucía ;9;Cruiser ;Spain ;287 319 ;51.34 % ;0.67 ;57 861 ;1 658 ;2.38 ;1.15
Attilio Regolo ;10;Destroyer ;Italy ;280 480 ;50.99 % ;0.8 ;51 401 ;1 749 ;1.51 ;1.31
Castilla ;10;Cruiser ;Spain ;278 687 ;50.5 % ;0.8 ;74 881 ;1 863 ;3 ;1.42
Ise ;6;Battleship ;Japan ;277 653 ;53.62 % ;0.79 ;44 143 ;1 330 ;4.94 ;1.89
Wujing ;9;Battleship ;Pan-Asia ;277 568 ;49.96 % ;0.66 ;65 545 ;1 613 ;3.05 ;1.11
Wichita ;8;Cruiser ;U.S.A. ;276 756 ;53.18 % ;0.71 ;45 841 ;1 676 ;4.13 ;1.17
Graf Zeppelin B ;8;Aircraft Carrier ;Germany ;274 936 ;48.86 % ;0.69 ;51 608 ;1 557 ;4.06 ;2.2
Gdansk ;10;Destroyer ;Europe ;272 127 ;51.15 % ;0.79 ;53 991 ;1 725 ;1.72 ;1.22
Klas Horn ;4;Destroyer ;Europe ;271 885 ;47.57 % ;0.67 ;18 302 ;654;0.8 ;0.97
Plymouth ;10;Cruiser ;U.K. ;264 644 ;51.76 % ;0.78 ;61 240 ;1 805 ;2.5 ;1.36
Dante Alighieri ;4;Battleship ;Italy ;264 274 ;49.39 % ;1.15 ;40 655 ;829;2.83 ;2.19
Ipiranga ;8;Battleship ;Pan-America ;262 860 ;51.99 % ;0.82 ;63 648 ;1 729 ;2.93 ;1.3
Ruggiero di Lauria ;10;Battleship ;Italy ;256 301 ;52.71 % ;0.97 ;104 320 ;2 002 ;2.36 ;1.9
Adatara ;9;Battleship ;Japan ;256 231 ;51.53 % ;0.77 ;75 439 ;1 744 ;2.18 ;1.47
Mikasa ;2;Battleship ;Japan ;255 285 ;54.01 % ;1.05 ;19 596 ;653;0 ;1.97
Boise ;7;Cruiser ;U.S.A. ;254 575 ;53.57 % ;0.78 ;41 665 ;1 480 ;2.62 ;1.43
Flandre ;8;Battleship ;France ;253 935 ;52.77 % ;0.81 ;61 977 ;1 709 ;5.16 ;1.35
ARP Yamato ;10;Battleship ;Japan ;253 325 ;49.29 % ;0.76 ;89 721 ;1 927 ;2.28 ;1.42
Bougainville ;1;Cruiser ;France ;252 035 ;49.34 % ;1.3 ;8 168 ;564;0 ;2.85
Pyotr Bagration ;8;Cruiser ;U.S.S.R. ;250 100 ;50.85 % ;0.61 ;44 255 ;1 573 ;4.41 ;1.02
Moltke ;4;Battleship ;Germany ;247 712 ;48.93 % ;1.13 ;39 403 ;829;1.11 ;2.23
Yahagi ;5;Cruiser ;Japan ;245 340 ;53.03 % ;0.65 ;25 508 ;1 046 ;1.56 ;0.97
Borodino ;8;Battleship ;U.S.S.R. ;243 045 ;54.13 % ;0.82 ;64 082 ;1 819 ;4.36 ;1.31
Lüshun ;10;Destroyer ;Pan-Asia ;243 025 ;53.29 % ;0.85 ;52 075 ;1 870 ;2.04 ;1.52
Oklahoma ;5;Battleship ;U.S.A. ;242 383 ;53.12 % ;0.85 ;41 331 ;1 119 ;1.88 ;1.51
Delaware ;9;Battleship ;U.S.A. ;236 728 ;52.46 % ;0.75 ;66 636 ;1 779 ;4.13 ;1.53
S-189 ;8;Submarine ;U.S.S.R. ;235 221 ;49.95 % ;0.41 ;24 431 ;1 433 ;0 ;0.71
Nueve de Julio ;7;Cruiser ;Pan-America ;234 434 ;52.83 % ;0.76 ;40 519 ;1 475 ;2.6 ;1.31
Bungo ;10;Battleship ;Japan ;233 344 ;52.08 % ;0.98 ;102 928 ;1 944 ;2.85 ;1.99
Knyaz Suvorov ;3;Battleship ;U.S.S.R. ;233 125 ;48.37 % ;1.05 ;30 428 ;643;0.23 ;1.95
Chungking ;5;Cruiser ;Pan-Asia ;231 327 ;50.2 % ;0.55 ;21 188 ;927;2.09 ;0.8
Lambros Katsonis ;9;Destroyer ;Europe ;230 300 ;49.33 % ;0.59 ;33 913 ;1 534 ;1.19 ;0.86
Admiral Makarov ;6;Cruiser ;U.S.S.R. ;228 306 ;51.86 % ;0.64 ;35 245 ;1 232 ;2.34 ;1.03
Santander ;9;Cruiser ;Pan-America ;225 925 ;51.43 % ;0.63 ;47 881 ;1 653 ;3.5 ;1.04
Novorossiysk ;6;Battleship ;U.S.S.R. ;224 909 ;53.29 % ;0.97 ;51 833 ;1 465 ;2.27 ;1.76
Zorkiy ;11;Destroyer ;U.S.S.R. ;222 500 ;54.9 % ;0.92 ;72 364 ;2 120 ;3.56 ;2.16
Admiral Schröder ;9;Cruiser ;Germany ;221 301 ;55.25 % ;0.73 ;58 950 ;1 755 ;4.07 ;1.18
Giuseppe Verdi ;9;Battleship ;Italy ;218 192 ;51.19 % ;0.73 ;66 938 ;1 656 ;2.53 ;1.16
Maestrale ;5;Destroyer ;Italy ;213 999 ;51.68 % ;0.76 ;21 416 ;1 050 ;0.43 ;1.18
Erich Loewenhardt ;6;Aircraft Carrier ;Germany ;213 326 ;55.52 % ;0.87 ;45 624 ;1 488 ;4.15 ;3.48
I-56 ;8;Submarine ;Japan ;212 952 ;49.89 % ;0.59 ;28 684 ;1 403 ;0 ;0.84
Almirante Cochrane ;6;Cruiser ;Pan-America ;211 554 ;52.21 % ;0.73 ;28 598 ;1 167 ;2.09 ;1.21
Maine ;11;Battleship ;U.S.A. ;210 836 ;51.26 % ;1 ;115 514 ;2 056 ;4.09 ;1.97
Grom ;7;Destroyer ;Europe ;210 358 ;51.37 % ;0.71 ;27 179 ;1 404 ;0.77 ;1.08
Dreadnought ;3;Battleship ;U.K. ;210 233 ;53.33 % ;1.24 ;36 139 ;892;0 ;2.39
München ;7;Cruiser ;Germany ;207 744 ;51.75 % ;0.62 ;37 596 ;1 404 ;1.96 ;1.04
Hornet ;8;Aircraft Carrier ;U.S.A. ;207 682 ;50.59 % ;0.85 ;62 754 ;1 642 ;3.33 ;2.88
Coronel Bolognesi ;7;Cruiser ;Pan-America ;205 822 ;50.46 % ;0.68 ;33 692 ;1 322 ;2.54 ;1.04
Yoshino B ;10;Cruiser ;Japan ;204 610 ;47.54 % ;0.63 ;72 751 ;1 689 ;2.88 ;1.18
San Martín ;10;Cruiser ;Pan-America ;197 727 ;52.1 % ;0.8 ;63 821 ;1 899 ;4.83 ;1.45
Champagne ;8;Battleship ;France ;197 577 ;52.44 % ;0.86 ;70 921 ;1 791 ;3.04 ;1.87
Independence ;6;Aircraft Carrier ;U.S.A. ;195 011 ;50.04 % ;0.53 ;32 942 ;1 178 ;6.23 ;1.97
Z-42 ;10;Destroyer ;Germany ;194 050 ;53.54 % ;0.76 ;45 966 ;1 827 ;2.32 ;1.36
La Argentina ;5;Cruiser ;Pan-America ;193 313 ;50.78 % ;0.72 ;24 723 ;951;1.55 ;1.01
Michelangelo ;9;Cruiser ;Italy ;191 386 ;55.76 % ;0.92 ;68 627 ;1 932 ;3.14 ;1.47
AL Littorio ;8;Battleship ;Italy ;189 709 ;52.35 % ;0.85 ;64 434 ;1 713 ;3.41 ;1.51
Hyuga ;7;Battleship ;Japan ;188 214 ;54.27 % ;0.97 ;61 919 ;1 614 ;1.56 ;2.03
AL Yukikaze ;8;Destroyer ;Japan ;186 685 ;52.43 % ;0.89 ;36 765 ;1 674 ;0.74 ;1.63
De Ruyter ;4;Cruiser ;The Netherlands ;184 980 ;50.51 % ;0.92 ;29 146 ;811;2.44 ;1.55
Weimar ;7;Cruiser ;Germany ;183 850 ;53.68 % ;0.75 ;40 995 ;1 489 ;2.32 ;1.23
Baleares ;6;Cruiser ;Spain ;183 605 ;51.05 % ;0.64 ;30 075 ;1 127 ;1.8 ;0.96
California ;7;Battleship ;U.S.A. ;181 711 ;51.21 % ;0.77 ;52 976 ;1 479 ;4.26 ;1.52
Chengan ;1;Cruiser ;Pan-Asia ;180 554 ;48.99 % ;1.38 ;8 195 ;562;0 ;2.8
Pommern B ;9;Battleship ;Germany ;178 666 ;49.81 % ;0.66 ;62 150 ;1 554 ;2.5 ;0.94
Tachibana Lima ;2;Destroyer ;Japan ;176 999 ;53.16 % ;1.15 ;18 231 ;774;0 ;2.03
Bourrasque ;4;Destroyer ;France ;170 659 ;49.89 % ;0.88 ;22 487 ;709;0.17 ;1.36
Valkyrie ;3;Destroyer ;U.K. ;170 480 ;48.67 % ;0.93 ;19 722 ;635;0.05 ;1.55
Ochakov ;8;Cruiser ;U.S.S.R. ;168 134 ;50.43 % ;0.58 ;38 346 ;1 550 ;3.74 ;0.91
Illinois ;9;Battleship ;U.S.A. ;167 618 ;53.73 % ;0.85 ;79 767 ;1 849 ;4.46 ;1.46
Marblehead Lima ;5;Cruiser ;U.S.A. ;164 846 ;52.78 % ;0.68 ;27 793 ;1 124 ;0.39 ;0.99
Galicia ;5;Cruiser ;Spain ;162 356 ;49.27 % ;0.61 ;23 009 ;907;0.5 ;0.82
Karl XIV Johan ;9;Battleship ;Europe ;160 812 ;51.88 % ;0.77 ;65 339 ;1 722 ;3.93 ;1.23
Diana ;2;Cruiser ;U.S.S.R. ;160 117 ;51.49 % ;0.81 ;16 935 ;613;0 ;1.39
Tulsa ;9;Cruiser ;U.S.A. ;158 971 ;50.98 % ;0.62 ;48 841 ;1 591 ;3.22 ;1.03
Congress ;8;Cruiser ;U.S.A. ;156 131 ;53.17 % ;0.63 ;44 762 ;1 616 ;4.46 ;0.99
Tone ;8;Cruiser ;Japan ;154 747 ;51.91 % ;0.66 ;40 731 ;1 511 ;2.38 ;1.57
Varyag ;3;Cruiser ;U.S.S.R. ;154 660 ;52.71 % ;0.97 ;25 552 ;742;0 ;1.58
Béarn ;6;Aircraft Carrier ;France ;154 147 ;57.01 % ;0.91 ;42 701 ;1 535 ;8.24 ;3.38
Sims B ;7;Destroyer ;U.S.A. ;154 135 ;51.27 % ;0.58 ;24 729 ;1 531 ;1.78 ;0.94
Rio de Janeiro ;5;Battleship ;Pan-America ;153 447 ;53.06 % ;1.02 ;45 531 ;1 144 ;0 ;1.79
Belfast '43 ;8;Cruiser ;U.K. ;151 229 ;49.36 % ;0.53 ;35 915 ;1 471 ;2.33 ;0.85
Essex ;10;Aircraft Carrier ;U.S.A. ;150 635 ;52.31 % ;0.91 ;89 379 ;1 983 ;10.17 ;3.4
Devastation ;11;Battleship ;U.K. ;148 518 ;49.69 % ;0.83 ;119 365 ;2 015 ;2.66 ;1.79
Romulus ;3;Destroyer ;Europe ;146 365 ;45.74 % ;0.66 ;15 466 ;560;0.39 ;0.94
Siroco ;5;Destroyer ;France ;145 935 ;52.58 % ;0.78 ;23 186 ;1 108 ;0.16 ;1.22
Stord ;6;Destroyer ;Europe ;140 481 ;51.3 % ;0.67 ;21 572 ;1 174 ;0.68 ;1.03
Louisiana ;10;Battleship ;U.S.A. ;140 103 ;51.03 % ;0.83 ;82 145 ;1 882 ;4.11 ;1.75
Delny ;10;Destroyer ;U.S.S.R. ;139 410 ;51.95 % ;0.74 ;57 924 ;1 770 ;2.44 ;1.62
Atlanta B ;7;Cruiser ;U.S.A. ;138 291 ;51.46 % ;0.66 ;32 098 ;1 538 ;3.71 ;0.96
Dunkerque B ;6;Battleship ;France ;135 358 ;54.04 % ;0.91 ;51 534 ;1 513 ;3.25 ;1.41
Poltava ;7;Battleship ;U.S.S.R. ;132 974 ;53.37 % ;0.87 ;56 002 ;1 614 ;3.54 ;1.55
Encounter ;9;Cruiser ;Commonwealth ;132 279 ;52.31 % ;0.73 ;64 691 ;1 759 ;1.51 ;1.37
Sevastopol ;10;Cruiser ;U.S.S.R. ;131 399 ;51.41 % ;0.75 ;75 787 ;1 891 ;3.59 ;1.46
AL Sov. Rossiya ;9;Battleship ;U.S.S.R. ;130 921 ;49.65 % ;0.66 ;65 985 ;1 592 ;1.73 ;1.13
Kunming ;11;Destroyer ;Pan-Asia ;129 606 ;49.86 % ;0.78 ;63 615 ;1 859 ;1.79 ;1.24
San Diego ;8;Cruiser ;U.S.A. ;129 108 ;53.91 % ;0.81 ;49 488 ;1 778 ;5.87 ;1.47
Admiral Ushakov ;11;Battleship ;U.S.S.R. ;128 279 ;51.16 % ;0.77 ;89 586 ;1 905 ;5.11 ;1.28
Tátra ;2;Destroyer ;Europe ;127 766 ;42.72 % ;0.84 ;15 045 ;538;0 ;1.32
Leone ;6;Destroyer ;Italy ;125 987 ;50.85 % ;0.63 ;24 263 ;1 233 ;0.42 ;1.05
Katori ;3;Cruiser ;Japan ;125 181 ;56.52 % ;1.09 ;29 666 ;880;0.65 ;1.94
Wukong ;8;Cruiser ;Pan-Asia ;123 788 ;48.44 % ;0.52 ;41 025 ;1 407 ;2.51 ;0.82
Constellation ;8;Battleship ;U.S.A. ;121 131 ;51.13 % ;0.73 ;54 904 ;1 649 ;4.91 ;1.18
Sicilia ;10;Battleship ;Italy ;120 406 ;52.3 % ;0.98 ;95 785 ;1 975 ;3.83 ;1.66
AL Azuma ;9;Cruiser ;Japan ;118 311 ;51.34 % ;0.68 ;69 657 ;1 649 ;2.36 ;1.44
Siliwangi ;8;Destroyer ;Pan-Asia ;117 278 ;50.16 % ;0.6 ;31 808 ;1 561 ;1.07 ;1
Anhalt ;8;Battleship ;Germany ;116 675 ;50.71 % ;0.74 ;56 917 ;1 598 ;3.36 ;1.3
Queen Mary ;4;Battleship ;U.K. ;116 428 ;49.39 % ;1.14 ;41 219 ;838;1.37 ;2.12
AL Montpelier ;8;Cruiser ;U.S.A. ;116 296 ;52.87 % ;0.68 ;43 704 ;1 637 ;5.5 ;1.14
Auckland ;8;Cruiser ;Commonwealth ;114 709 ;51.43 % ;0.71 ;48 773 ;1 631 ;2.23 ;1.15
Renown '44 ;7;Battleship ;U.K. ;113 278 ;52.48 % ;0.9 ;50 874 ;1 512 ;3.67 ;1.41
Dido ;6;Cruiser ;U.K. ;112 120 ;51.99 % ;0.69 ;30 205 ;1 244 ;2.8 ;1.14
Cheshire ;8;Cruiser ;U.K. ;111 295 ;51.83 % ;0.64 ;45 335 ;1 608 ;5.42 ;1.12
Von der Tann ;3;Battleship ;Germany ;110 845 ;48.88 % ;1.19 ;33 900 ;700;0.35 ;2.4
Medea ;2;Destroyer ;U.K. ;110 125 ;45.22 % ;1.06 ;17 181 ;575;0 ;1.9
Eritrea ;1;Cruiser ;Italy ;109 131 ;51.48 % ;2.21 ;13 198 ;752;0 ;5.82
Joshua Humphreys ;11;Destroyer ;U.S.A. ;108 771 ;49.26 % ;0.69 ;49 431 ;1 769 ;2.84 ;1.19
Rhode Island ;10;Battleship ;U.S.A. ;108 720 ;51.54 % ;0.94 ;93 802 ;1 981 ;4.24 ;1.63
Iwaki Alpha ;4;Cruiser ;Japan ;108 113 ;57.9 % ;1.19 ;33 061 ;958;0.83 ;1.92
Daisen ;9;Battleship ;Japan ;108 033 ;51.43 % ;0.77 ;71 395 ;1 686 ;2.64 ;1.27
Rochester ;8;Cruiser ;U.S.A. ;107 808 ;52%;0.69 ;48 555 ;1 659 ;5.41 ;1.21
Nino Bixio ;2;Cruiser ;Italy ;107 455 ;44.51 % ;0.86 ;17 435 ;575;0 ;1.45
Canarias ;6;Cruiser ;Spain ;106 273 ;52.66 % ;0.67 ;30 258 ;1 230 ;2.06 ;1.07
Delhi ;5;Cruiser ;Commonwealth ;105 694 ;51.22 % ;0.77 ;27 294 ;1 060 ;2.49 ;1.2
Almirante Cervera ;4;Cruiser ;Spain ;104 186 ;49.35 % ;1.15 ;31 209 ;815;0.95 ;1.72
Taranto ;3;Cruiser ;Italy ;103 679 ;44.33 % ;0.74 ;18 438 ;578;0.05 ;1.07
Minegumo ;9;Destroyer ;Japan ;102 773 ;51.66 % ;0.8 ;41 718 ;1 663 ;0.05 ;1.5
Napoli B ;10;Cruiser ;Italy ;98 110 ;48.81 % ;0.69 ;60 642 ;1 727 ;2.72 ;1.1
Dmitry Pozharsky ;8;Cruiser ;U.S.S.R. ;97 392 ;49.37 % ;0.6 ;44 430 ;1 447 ;3.31 ;0.97
Mainz B ;8;Cruiser ;Germany ;97 249 ;51.07 % ;0.64 ;48 672 ;1 560 ;3.58 ;1.02
Curtatone ;2;Destroyer ;Italy ;95 972 ;48.37 % ;1.56 ;25 383 ;747;0 ;2.97
Cerberus ;10;Cruiser ;Commonwealth ;94 666 ;51.82 % ;0.84 ;87 025 ;1 947 ;2.27 ;1.69
Dalian ;9;Cruiser ;Pan-Asia ;92 263 ;50.48 % ;0.62 ;51 875 ;1 654 ;3.46 ;1.14
Somme ;9;Destroyer ;U.K. ;92 174 ;52.99 % ;0.79 ;39 980 ;1 744 ;1.64 ;1.57
Sekiryu ;11;Aircraft Carrier ;Japan ;92 098 ;50.81 % ;1.05 ;116 246 ;2 001 ;5.82 ;3.58
Gibraltar ;10;Cruiser ;U.K. ;91 450 ;51.15 % ;0.8 ;72 777 ;1 897 ;3.26 ;1.39
Uganda ;7;Cruiser ;Commonwealth ;89 372 ;49.7 % ;0.66 ;35 502 ;1 394 ;2.07 ;1.03
Novosibirsk ;11;Cruiser ;U.S.S.R. ;88 441 ;50.92 % ;0.86 ;86 297 ;1 967 ;3.02 ;1.41
Sun Yat-Sen ;9;Battleship ;Pan-Asia ;87 731 ;50.71 % ;0.67 ;66 178 ;1 663 ;2.97 ;1.12
Kitakami ;10;Cruiser ;Japan ;87 141 ;51.69 % ;0.92 ;67 932 ;1 803 ;0.04 ;2.19
Fusilier ;3;Destroyer ;France ;84 538 ;46.85 % ;0.8 ;18 127 ;595;0.02 ;1.17
Turbine ;4;Destroyer ;Italy ;83 788 ;49.72 % ;0.99 ;24 341 ;794;0.7 ;1.59
Fenyang ;8;Destroyer ;Pan-Asia ;80 555 ;48.27 % ;0.57 ;33 013 ;1 531 ;4.21 ;0.93
Muavenet ;5;Destroyer ;Europe ;80 458 ;49.57 % ;0.61 ;18 326 ;982;0.41 ;0.91
Maya ;7;Cruiser ;Japan ;78 838 ;54.3 % ;0.77 ;40 192 ;1 493 ;2.77 ;1.34
Defence ;10;Cruiser ;U.K. ;76 907 ;52.03 % ;0.86 ;81 025 ;1 921 ;2.89 ;1.5
Hobart ;6;Cruiser ;Commonwealth ;69 778 ;52.84 % ;0.79 ;32 771 ;1 306 ;2.46 ;1.36
Velos ;9;Destroyer ;Europe ;69 750 ;49.94 % ;0.68 ;35 736 ;1 621 ;2.27 ;1.15
Huron ;7;Destroyer ;Commonwealth ;68 616 ;53.29 % ;0.75 ;24 684 ;1 470 ;1.14 ;1.29
Yukon ;7;Battleship ;Commonwealth ;66 262 ;53.75 % ;0.88 ;55 907 ;1 601 ;3.03 ;1.62
Enseigne Gabolde ;2;Destroyer ;France ;65 727 ;44.02 % ;1.06 ;17 853 ;583;0 ;1.77
Toulon ;7;Cruiser ;France ;64 999 ;54.99 % ;0.77 ;41 674 ;1 536 ;2.79 ;1.25
Z-35 ;8;Destroyer ;Germany ;64 529 ;49.11 % ;0.58 ;28 841 ;1 546 ;1.49 ;0.93
Ignis Purgatio ;8;Battleship ;Japan ;62 507 ;50.02 % ;0.73 ;58 737 ;1 578 ;3.06 ;1.36
Cross of Dorn ;8;Cruiser ;Germany ;61 890 ;50.93 % ;0.63 ;47 364 ;1 555 ;3.5 ;0.98
Van Kinsbergen ;1;Cruiser ;The Netherlands ;61 602 ;44.05 % ;1.91 ;13 007 ;710;0 ;3.71
Tiger '59 ;8;Cruiser ;U.K. ;61 575 ;53.59 % ;0.68 ;41 246 ;1 713 ;5.02 ;1.33
Aquila ;8;Aircraft Carrier ;Italy ;60 945 ;53.95 % ;0.93 ;70 990 ;1 803 ;3.77 ;3.39
North Carolina CLR ;8;Battleship ;U.S.A. ;60 676 ;50.86 % ;0.79 ;61 278 ;1 701 ;4.84 ;1.46
West Virginia '44 ;7;Battleship ;U.S.A. ;59 364 ;53.28 % ;0.93 ;54 660 ;1 558 ;4.8 ;1.58
Los Andes ;9;Battleship ;Pan-America ;59 253 ;55.47 % ;1.08 ;95 465 ;2 084 ;3.03 ;1.74
Chkalov B ;8;Aircraft Carrier ;U.S.S.R. ;58 477 ;50.15 % ;0.76 ;56 968 ;1 676 ;5.98 ;2.44
Tokachi ;7;Cruiser ;Japan ;58 174 ;50.77 % ;0.68 ;31 828 ;1 368 ;2.27 ;1.05
Almirante Grau ;8;Cruiser ;Pan-America ;55 886 ;53%;0.74 ;48 861 ;1 745 ;7.16 ;1.36
Collingwood ;7;Battleship ;U.K. ;55 733 ;53.3 % ;0.93 ;61 527 ;1 607 ;1.91 ;1.49
Hampshire ;8;Cruiser ;U.K. ;54 785 ;49.74 % ;0.64 ;42 753 ;1 529 ;3.29 ;1.02
Loyang B ;8;Destroyer ;Pan-Asia ;54 734 ;50.27 % ;0.62 ;26 806 ;1 607 ;1.84 ;1
Córdoba ;4;Cruiser ;Pan-America ;53 954 ;49.02 % ;1.09 ;27 425 ;771;1.1 ;1.67
Juruá ;6;Destroyer ;Pan-America ;52 023 ;52.25 % ;0.75 ;23 246 ;1 262 ;0.04 ;1.24
Ragnarok ;8;Battleship ;Japan ;51 639 ;50.88 % ;0.73 ;59 191 ;1 600 ;3.09 ;1.33
Java ;3;Cruiser ;The Netherlands ;51 541 ;48.37 % ;1.09 ;28 654 ;734;1.04 ;2.08
Sanzang ;8;Aircraft Carrier ;Pan-Asia ;50 809 ;48.18 % ;0.68 ;54 418 ;1 557 ;3.62 ;2.76
L'Aventurier ;8;Destroyer ;France ;50 745 ;53.61 % ;0.91 ;38 735 ;1 825 ;1.36 ;1.71
Komissar ;10;Cruiser ;U.S.S.R. ;50 497 ;52.02 % ;0.84 ;81 823 ;1 948 ;3.08 ;1.88
Colossus ;8;Aircraft Carrier ;U.K. ;50 287 ;54.51 % ;0.98 ;73 623 ;1 855 ;4.2 ;3.71
Orage ;9;Destroyer ;France ;49 236 ;53.85 % ;0.85 ;43 662 ;1 864 ;1.72 ;1.58
